lcd1,road_id,road_name,offset,direction,lat,lng,accuracy,period_min,flow,speed_kmh
4855,335,SS23 Del Colle Di Sestriere,2183,positive,44.955301,7.199642,94,5,540,29.0
4856,335,SS23 Del Colle Di Sestriere,1039,negative,44.955228,7.199655,98,5,672,28.0
4878,336,SS24 Del Monginevro,1640,negative,45.13287,7.06817,98,5,252,69.0
4877,336,SS24 Del Monginevro,8580,positive,45.13287,7.06817,97,5,180,78.0
4849,335,SS23 Del Colle Di Sestriere,2526,positive,44.88563,7.3731,49,5,108,0.0
4851,335,SS23 Del Colle Di Sestriere,1331,negative,44.88563,7.3731,0,5,0,0.0
4851,335,SS23 Del Colle Di Sestriere,3468,positive,44.879017,7.313917,73,5,600,63.0
4852,335,SS23 Del Colle Di Sestriere,24,negative,44.879017,7.313917,97,5,552,77.16
12469,1016,SS589 Dei Laghi Di Avigliana,6172,negative,44.8424,7.35245,0,5,0,0.0
12468,1016,SS589 Dei Laghi Di Avigliana,1607,positive,44.8424,7.35245,98,5,396,53.0
4871,336,SS24 Del Monginevro,1571,positive,45.10467,7.50445,0,5,0,0.0
4872,336,SS24 Del Monginevro,6025,negative,45.10467,7.50445,0,5,0,0.0
35880,35878,SP267(TO) di Lombardore,1091,positive,45.1566,7.70955,96,5,60,48.0
35881,35878,SP267(TO) di Lombardore,571,negative,45.1566,7.70955,89,5,0,0.0
4876,336,SS24 Del Monginevro,1563,positive,45.119067,7.21835,93,5,24,63.0
4877,336,SS24 Del Monginevro,3339,negative,45.119017,7.21835,92,5,0,0.0
35818,35815,SP2(TO) di Germagnano,495,positive,45.138117,7.65605,0,5,0,0.0
35819,35815,SP2(TO) di Germagnano,1841,negative,45.138117,7.65605,0,5,0,0.0
35772,35769,SP174(TO) di Borgaretto,971,negative,45.028517,7.578017,98,5,456,50.0
35771,35769,SP174(TO) di Borgaretto,2073,positive,45.028517,7.578017,98,5,348,59.0
4845,335,SS23 Del Colle Di Sestriere,840,positive,44.9601,7.56515,98,5,372,56.0
4846,335,SS23 Del Colle Di Sestriere,3905,negative,44.9601,7.56515,98,5,240,66.0
35716,35714,SP161(TO) della Val Pellice,951,positive,44.8501,7.318,0,5,0,0.0
35718,35714,SP161(TO) della Val Pellice,2173,negative,44.8501,7.318,0,5,0,0.0
40121,40118,Corso Regina Margherita(TO),340,positive,45.095814,7.626792,0,5,0,0.0
40123,40118,Corso Regina Margherita(TO),1653,negative,45.093623,7.632615,0,5,0,0.0
4862,335,SS23 Del Colle Di Sestriere,295,positive,45.0386,7.04635,96,5,60,64.0
4863,335,SS23 Del Colle Di Sestriere,3791,negative,45.0386,7.04635,96,5,48,67.0
4866,335,SS23 Del Colle Di Sestriere,919,positive,44.9542,6.868717,97,5,84,44.0
4867,335,SS23 Del Colle Di Sestriere,5904,negative,44.9542,6.868717,97,5,84,52.0
4864,335,SS23 Del Colle Di Sestriere,7793,positive,44.96192,6.88395,89,5,12,85.0
4865,335,SS23 Del Colle Di Sestriere,329,negative,44.96192,6.88395,0,5,0,0.0
40121,40118,Corso Regina Margherita(TO),239,positive,45.096231,7.625643,0,5,0,0.0
40123,40118,Corso Regina Margherita(TO),1555,negative,45.093256,7.63375,0,5,0,0.0
39983,39980,Corso Allamano(TO),563,positive,45.0507,7.6225,95,5,444,30.14
40071,40070,Corso Moncalieri(TO),1836,positive,45.035647,7.680685,0,5,0,0.0
40253,40251,Strada Di Settimo(TO),511,positive,45.103604,7.725984,95,5,528,46.36
40266,40265,Via Cernaia(TO),321,positive,45.07234,7.67169,100,5,0,0.0
40266,40265,Via Cernaia(TO),322,positive,45.07238,7.67174,100,5,0,0.0
40040,40039,Corso Giulio Cesare(TO),639,positive,45.11394,7.70806,95,5,1284,53.21
40194,40192,Corso Vercelli(TO),1537,positive,45.10529,7.696277,95,5,756,31.1
40122,40118,Corso Regina Margherita(TO),1267,positive,45.08876,7.647085,95,5,864,39.89
40123,40118,Corso Regina Margherita(TO),125,positive,45.086797,7.653109,95,5,636,39.52
40022,40017,Corso Francia(TO),96,positive,45.074371,7.615753,95,5,1164,44.04
40149,40148,Corso Sebastopoli(TO),237,positive,45.049447,7.632419,95,5,540,26.0
40097,40093,Corso Orbassano(TO),159,positive,45.036389,7.626645,95,5,1404,32.43
40098,40093,Corso Orbassano(TO),155,positive,45.038504,7.630939,95,5,912,36.76
40174,40172,Corso Trieste(TO),663,positive,45.014188,7.669274,95,5,2136,45.55
40189,40188,Corso Unita' D'italia(TO),160,positive,45.01876,7.66932,95,5,1812,47.94
39977,39975,Corso Agnelli(TO),417,positive,45.033788,7.642453,95,5,816,46.64
40041,40039,Corso Giulio Cesare(TO),1001,positive,45.103963,7.701279,95,5,840,52.04
40212,40211,Ponte Amedeo VIII(TO),410,positive,45.096529,7.71906,95,5,948,29.95
40021,40017,Corso Francia(TO),513,positive,45.074194,7.612636,95,5,1224,44.38
40034,40029,Corso Galileo Ferraris(TO),238,positive,45.067535,7.672207,100,5,600,38.0
40182,40180,Corso Unione Sovietica(TO),1261,positive,45.022222,7.634876,95,5,552,35.83
40095,40093,Corso Orbassano(TO),506,positive,45.031137,7.612029,94,5,0,0.0
2375,223,R24 Raccordo Torino-Aeroporto Caselle,2066,negative,45.108011,7.694854,95,5,1224,72.61
40191,40188,Corso Unita' D'italia(TO),1200,negative,45.025896,7.671445,80,5,1572,55.82
40189,40188,Corso Unita' D'italia(TO),970,positive,45.02586,7.671667,80,5,1488,58.0
3728,296,SS10 Padana Inferiore,1580,negative,44.92167,8.5656,100,5,384,57.47
3727,296,SS10 Padana Inferiore,5130,positive,44.921633,8.565183,100,5,324,62.03
3736,296,SS10 Padana Inferiore,5160,positive,44.92541,8.89524,100,5,276,70.76
3737,296,SS10 Padana Inferiore,3550,negative,44.92541,8.89524,100,5,300,69.0
5057,346,SS30 Di Val Bormida,7690,positive,44.86458,8.5672,100,5,516,73.62
5058,346,SS30 Di Val Bormida,130,negative,44.86458,8.5672,100,5,684,67.89
5080,347,SS31 Del Monferrato,1010,positive,44.92719,8.58575,100,5,456,51.0
5081,347,SS31 Del Monferrato,480,negative,44.92719,8.58575,0,5,0,0.0
3234,354,SS35 Bis Dei Giovi,3100,positive,44.77595,8.79817,100,5,348,65.26
5235,355,SS35 Bis Dei Giovi,1460,negative,44.77595,8.79817,100,5,372,68.69
11787,923,SS494 Vigevanese,2920,positive,44.99752,8.63915,100,5,492,54.55
11788,923,SS494 Vigevanese,10400,negative,44.99752,8.63915,100,5,360,54.97
14790,14787,SP155(AL),2300,negative,44.673,8.66746,100,5,324,56.4
14789,14787,SP155(AL),530,positive,44.673,8.66746,100,5,96,19.08
11420,885,SS458 Di Casalborgone,2180,positive,44.95677,8.14151,0,5,0,0.0
11421,885,SS458 Di Casalborgone,1060,negative,44.95677,8.14151,0,5,0,0.0
11404,884,SS457 Di Moncalvo,1750,positive,45.06662,8.28477,100,5,156,80.28
11405,884,SS457 Di Moncalvo,3230,negative,45.06662,8.28477,100,5,108,84.0
11369,883,SS456 Del Turchino,2570,positive,44.82497,8.217,100,5,372,62.9
11370,883,SS456 Del Turchino,740,negative,44.82497,8.217,100,5,420,65.59
3717,296,SS10 Padana Inferiore,660,positive,44.93965,7.93916,100,5,384,57.57
3718,296,SS10 Padana Inferiore,8570,negative,44.93965,7.93916,100,5,432,51.0
7925,525,SS142 Biellese,2500,positive,45.57417,8.25216,100,5,348,58.0
7926,525,SS142 Biellese,4300,negative,45.57417,8.25216,100,5,612,58.0
7942,526,SS143 Vercellese,1540,positive,45.45714,8.1073,100,5,456,65.08
7943,526,SS143 Vercellese,1390,negative,45.45714,8.1073,100,5,372,72.93
12292,989,SS564 Monregalese,4820,negative,44.40704,7.77654,100,5,360,70.0
12291,990,SS564 Monregalese,2090,positive,44.40704,7.77654,100,5,396,56.52
13065,1096,SS661 Delle Langhe,1250,positive,44.81005,7.7627,100,5,276,59.45
13066,1096,SS661 Delle Langhe,4680,negative,44.81005,7.7627,100,5,132,79.0
13077,1097,SS662 Di Savigliano,4960,positive,44.64808,7.59853,100,5,384,52.15
13078,1097,SS662 Di Savigliano,8200,negative,44.64808,7.59853,100,5,216,64.84
5034,344,SS29 Del Colle Di Cadibona,4200,positive,44.67126,8.04099,100,5,348,51.0
