id,name,lat,lng,total,free,status,tendence,occupancy_pct
2,Bodoni,45.063553,7.683574,460,198,1,1,56.95652173913044
3,Bolzano,45.072478,7.667162,858,84,1,1,90.20979020979021
4,D'Azeglio Galilei,45.042894,7.677542,223,44,1,1,80.26905829596413
5,Emanuele Filiberto,45.076661393,7.68030909027,110,61,1,1,44.54545454545455
6,Galileo Ferraris,45.067451,7.672192,276,28,1,1,89.85507246376811
7,Lingotto,45.031625,7.662682,3100,2852,1,1,8.0
8,Madama Cristina,45.058585,7.683419,259,138,1,1,46.71814671814672
9,Nizza,45.040852,7.668902,371,190,1,1,48.78706199460917
10,Palagiustizia,45.069353,7.661091,616,298,1,1,51.62337662337662
11,Porta Palazzo,45.07646,7.686467,653,432,1,1,33.84379785604901
12,Santo Stefano,45.073845,7.68372,344,35,1,1,89.82558139534883
13,Re Umberto,45.067,7.67583,125,3,1,1,97.6
14,Roma S.Carlo Castello,45.063992,7.680366,786,122,1,1,84.47837150127226
15,Ventimiglia,45.033647,7.672969,303,133,1,1,56.1056105610561
16,Fontanesi,45.070346,7.70501,358,88,1,1,75.41899441340782
17,Racconigi,45.069825,7.646689,100,0,0,1,100.0
18,Valdo Fusi,45.065041,7.687613,457,86,1,1,81.18161925601751
19,Stati Uniti,45.064056,7.667003,500,181,1,1,63.8
23,Caio Mario,45.028627,7.640286,418,409,1,1,2.15311004784689
24,Fermi,45.076464,7.591056,300,0,0,1,100.0
25,Molinette,45.038575,7.675885,481,164,1,1,65.9043659043659
27,Sofia,45.095568,7.716923,272,150,1,1,44.85294117647059
28,Stura,45.120578,7.711557,589,469,1,1,20.37351443123939
30,Vittorio,45.064784,7.695425,476,135,1,1,71.63865546218487
31,V Padiglione,45.050827,7.682977,327,0,0,1,100.0
32,Cto,45.033603,7.67349,161,102,1,1,36.64596273291925
40,Unione Sovietica,45.01192,7.62291,150,0,0,1,100.0
46,Bacigalupo,45.036604,7.672489,326,184,1,1,43.558282208588956
47,Bixio,45.06879,7.65565,255,148,1,1,41.96078431372549
48,Venchi Unica,45.074104,7.615765,437,244,1,1,44.16475972540046
50,Caio Mario Camper,45.02803,7.63973,57,50,1,1,12.280701754385966
51,Porta Nuova Fs,45.06293,7.67776,242,11,1,-1,95.45454545454545
52,Porta Susa Fs,45.07301,7.66718,123,6,1,1,95.1219512195122
53,Ancona,45.07961,7.69175,148,26,1,1,82.43243243243244
54,Palestro,45.07339,7.67184,113,6,1,-1,94.69026548672566
55,Cernaia,45.06936,7.67348,94,16,1,1,82.97872340425532
56,Monti,45.04709,7.68091,153,13,1,1,91.50326797385621
57,Mercato Centrale,45.07768,7.68379,110,80,1,-1,27.272727272727273
59,Richelmy,45.08301,7.65785,115,62,1,1,46.08695652173913
60,Lancia,45.061756,7.642471,323,157,1,1,51.39318885448916
